action,source_ip_entropy,requests_per_min,distinct_resources_touched,is_public_acl,iam_wildcard_permissions,data_transfer_mb,new_role_assumed,off_hours,mfa_present,label,event_id,resource_type,account_id
DescribeInstances,3.995827529152257,15,8,0,1,2.7698181181577413,1,1,0,2,EVT-000038,IAM,713522
GetObject,2.0257876926387706,3,1,0,0,2.197063199544706,0,1,1,0,EVT-000039,EKS,259716
InvokeFunction,0.8468882548054577,6,2,0,0,1.6142156687671803,0,1,1,0,EVT-000040,EC2,593694
AssumeRole,1.5258113465409264,7,1,0,0,0.27894852176652396,0,0,1,0,EVT-000041,EC2,203489
AttachRolePolicy,1.639586388298019,6,2,0,0,3.9654588304263907,0,0,1,0,EVT-000042,EC2,325158
ListBuckets,1.792479731857839,5,1,0,0,18.54485925083879,0,0,1,0,EVT-000043,Lambda,211118
GetObject,1.3171169327421817,8,1,0,0,2.4107465339884273,0,0,1,0,EVT-000044,S3,528689
GetObject,2.5001127861705568,2,2,0,0,8.243423367099235,0,0,1,0,EVT-000045,S3,688188
GetCallerIdentity,4.653099395137483,14,10,0,0,5.064427997492167,1,1,0,2,EVT-000046,EC2,786551
GetCallerIdentity,1.792952491754393,2,2,0,0,5.538263724900482,0,1,1,0,EVT-000047,Lambda,651004
PutObject,1.9479330159213062,5,2,0,0,1.0780009478261374,0,0,1,0,EVT-000048,IAM,147013
RunInstances,1.5665204690567758,7,2,0,0,0.09802005162699931,0,0,1,0,EVT-000049,EKS,669532
PutObject,1.3696306567252328,2,2,0,0,0.20224041721089073,0,1,1,0,EVT-000050,Lambda,457840
DescribeInstances,2.001145030370825,2,1,0,0,0.4702455805832414,0,0,0,0,EVT-000051,IAM,123868
GetObject,2.5246679907267335,9,1,0,0,4.839284804585564,0,0,1,0,EVT-000052,EC2,177022
PutBucketAcl,2.3296736159153655,3,1,0,0,32.9371443839711,0,0,1,0,EVT-000053,EKS,143692
DescribeInstances,1.8994013140740584,5,1,0,0,16.02304722034978,0,0,1,0,EVT-000054,S3,377130
ListBuckets,1.7005611682674808,4,1,0,0,13.260208282395192,0,0,1,0,EVT-000055,EKS,524977
CopyObject,2.4399389812669208,2,1,0,0,1.6067867496418018,0,0,1,0,EVT-000056,EC2,373429
GetObject,2.073533111878586,4,2,0,0,5.3024007908846515,0,0,0,0,EVT-000057,Lambda,102666
DescribeInstances,2.1587721312022463,6,2,0,0,0.3512601511779168,0,0,1,0,EVT-000058,Lambda,280703
AssumeRole,2.6776106175189627,7,1,0,0,3.115933307847818,0,0,1,0,EVT-000059,EC2,497944
AssumeRole,2.10145464724438,5,2,0,0,4.870171649506965,0,0,1,0,EVT-000060,Lambda,391121
PutObject,2.1987226276762293,4,1,0,0,3.065014181822898,0,0,1,0,EVT-000061,EC2,593356
AssumeRole,4.1519802674951345,22,12,0,1,6.726019233734503,0,1,0,2,EVT-000062,IAM,791279
PutObject,1.706171062826298,2,1,0,0,7.965683465672022,0,0,1,0,EVT-000063,EKS,555059
RunInstances,2.1601843185404297,3,1,0,0,8.796961127477445,0,0,1,0,EVT-000064,S3,153951
GetCallerIdentity,2.0860947091610376,1,2,0,0,1.756659427777389,0,0,1,0,EVT-000065,Lambda,525520
ConsoleLogin,1.9775622351837774,5,1,0,0,2.8379363228217453,0,1,1,0,EVT-000066,EC2,114069
DescribeInstances,1.4201716251702559,2,2,0,0,4.921389124140412,0,0,0,0,EVT-000067,IAM,124657
PutObject,1.7724951434394738,0,2,0,0,1.327805665768588,0,0,1,0,EVT-000068,IAM,405109
ListBuckets,2.1750693200772426,6,2,0,0,1.7865200869082827,0,0,1,0,EVT-000069,EC2,689132
PutObject,1.6792493736679937,5,2,0,0,2.3993554028777373,0,0,1,0,EVT-000070,EKS,692391
InvokeFunction,2.680874376485622,4,1,0,0,18.665700378157666,0,0,1,0,EVT-000071,EC2,559863
DescribeInstances,2.2232324384734508,2,2,0,0,5.952107332174508,0,0,0,0,EVT-000072,EC2,420984
InvokeFunction,1.8911277890813647,2,2,0,0,1.109448374256463,0,0,1,0,EVT-000073,Lambda,545735
CreateAccessKey,1.5936564822640331,4,2,0,0,7.9711500518802385,0,0,1,0,EVT-000074,EKS,685116
GetObject,2.610448323509876,6,2,0,0,0.0922721767503332,0,0,1,0,EVT-000075,S3,694156
GetObject,1.974672056115616,7,2,0,0,0.39836417898829607,0,1,1,0,EVT-000076,Lambda,521005
RunInstances,2.0098199329615953,3,1,0,0,2.7374821917146686,0,0,1,0,EVT-000077,S3,218026
GetObject,1.9560252094326835,4,1,0,0,12.37545763397998,0,0,1,0,EVT-000078,Lambda,281466
CreateAccessKey,2.2126343942970994,5,1,0,0,0.7440283636438252,0,0,0,0,EVT-000079,EKS,304482
RunInstances,1.6606661227532586,2,2,0,0,1.1809310978248557,0,0,1,0,EVT-000080,IAM,244974
AssumeRole,1.998008708215401,3,2,0,0,7.279382237811961,0,1,1,0,EVT-000081,S3,674885
RunInstances,1.6923659410917835,3,1,0,0,3.0516257393445416,0,1,1,0,EVT-000082,S3,463498
PutObject,1.7188980160715184,3,1,0,0,3.6112029482855332,0,1,1,0,EVT-000083,IAM,344105
PutObject,2.4529263770189385,3,1,0,0,7.83722747789449,0,0,0,0,EVT-000084,EC2,299527
PutObjectAcl,2.0959245443292995,7,1,1,1,0.1615445359643638,1,0,1,1,EVT-000085,EC2,591116
PutObjectAcl,1.2048496681594614,9,1,0,0,19.507585834081173,0,0,1,0,EVT-000086,Lambda,243225
GetCallerIdentity,1.8580719218045247,6,1,0,0,6.407677456470399,0,0,1,0,EVT-000087,IAM,535335
PutObject,1.822407956310454,4,1,0,0,6.8718342616876935,0,0,1,0,EVT-000088,IAM,336676
GetCallerIdentity,1.981945760532903,8,2,0,0,1.6474022786917952,0,1,1,0,EVT-000089,Lambda,130597
ConsoleLogin,1.5093366615683348,3,1,0,0,0.9102052239095149,0,0,1,0,EVT-000090,IAM,419628
PutObject,2.1027550730076228,5,1,0,0,9.325117801279738,0,1,1,0,EVT-000091,S3,161124
CreateAccessKey,5.730539842524008,17,11,0,1,3.6347118415988566,0,1,1,2,EVT-000092,EC2,708375
InvokeFunction,2.218317503939981,2,1,0,0,0.1651625852670589,0,0,1,0,EVT-000093,IAM,654065
ListBuckets,1.8374483141051723,1,2,0,0,4.530196533894003,0,0,1,0,EVT-000094,IAM,228869
AssumeRole,1.9033800268065657,4,2,0,0,2.5626921658153687,0,0,1,0,EVT-000095,IAM,673401
AssumeRole,2.1502723690091328,5,2,0,0,4.361362667841607,0,0,1,0,EVT-000096,EC2,497049
AttachRolePolicy,2.0974863454831247,4,1,0,0,3.7368765397748946,0,1,1,0,EVT-000097,EKS,538210
RunInstances,2.5155329569243956,4,1,0,0,7.8373892855359735,0,0,1,0,EVT-000098,EKS,171570
DescribeInstances,1.5750342352561748,7,1,0,0,1.5100532369063395,0,0,1,0,EVT-000099,S3,245067
GetCallerIdentity,2.207589518331043,0,1,0,0,0.5416755493672462,0,1,1,0,EVT-000100,EC2,102808
GetObject,2.3739705931374604,4,2,0,0,5.55146664721217,0,1,1,0,EVT-000101,EKS,376462
PutObjectAcl,2.156629526031533,1,1,1,1,3.9385077095633427,0,1,0,1,EVT-000102,Lambda,271713
ListBuckets,1.9403005001059255,4,1,0,0,0.15477781593510315,0,0,1,0,EVT-000103,IAM,158868
CreateAccessKey,2.048073537103904,5,2,0,0,10.821504878054624,0,0,1,0,EVT-000104,EC2,288459
ListBuckets,2.0816522146325194,3,2,0,0,14.973093735494361,0,0,1,0,EVT-000105,EC2,442260
PutObject,1.387909423362819,0,1,0,0,0.8817389022409683,0,1,1,0,EVT-000106,S3,424293
PutObject,1.791286653301432,7,1,0,0,4.287286440657747,0,0,1,0,EVT-000107,EC2,484395
ConsoleLogin,2.2858511558358217,1,1,0,0,3.2880727932429297,0,0,1,0,EVT-000108,EC2,599729
ListBuckets,2.8434817446825833,5,2,0,0,2.2174630427194377,0,0,1,0,EVT-000109,EKS,338522
PutBucketAcl,2.6908410824912172,2,1,0,0,12.959888200576287,0,0,1,0,EVT-000110,Lambda,628529
AssumeRole,4.0314440343034725,12,10,0,1,2.639728693251654,0,1,1,2,EVT-000111,EC2,769685
CreateAccessKey,1.8917533060028295,5,2,0,0,3.6188560466565307,0,0,1,0,EVT-000112,Lambda,231220
CopyObject,2.447701567504801,1,1,0,0,2.4822692060526403,0,0,1,0,EVT-000113,Lambda,411365
GetCallerIdentity,2.897168124961194,6,2,0,0,21.528499050822948,0,0,1,0,EVT-000114,EC2,692341
DescribeInstances,1.9719739400825593,4,2,0,0,8.72003221794277,0,0,1,0,EVT-000115,EKS,106361
GetObject,2.17654347701198,5,1,0,0,0.9159364004600322,0,0,1,0,EVT-000116,EC2,123774
PutBucketAcl,2.734569482965369,3,2,0,0,4.516559280037306,0,1,1,0,EVT-000117,EKS,426447
DescribeInstances,2.399822029123414,4,1,0,0,0.08048554723541955,0,0,1,0,EVT-000118,S3,538876
AttachRolePolicy,1.7546507266526168,4,2,0,0,0.16145322313283914,0,1,1,0,EVT-000119,IAM,180251
DescribeInstances,1.6479122429342372,2,1,0,0,5.497356473648222,0,0,1,0,EVT-000120,IAM,512505
RunInstances,2.5474510607212224,5,2,0,0,0.6719045185267475,0,0,1,0,EVT-000121,S3,121855
GetCallerIdentity,0.7342315938151645,4,1,0,0,11.719244289019597,0,0,1,0,EVT-000122,EKS,436434
AssumeRole,2.464113955538428,2,2,0,0,2.6464935750371756,0,0,1,0,EVT-000123,EC2,221731
RunInstances,1.4078306495090924,2,1,0,0,3.5993896622541035,0,0,1,0,EVT-000124,Lambda,212253
ListBuckets,3.8464838655998372,28,5,0,1,95.99896646108262,0,0,0,3,EVT-000125,S3,746273
DescribeInstances,2.5485310498835267,2,2,0,0,9.519988135950001,0,0,1,0,EVT-000126,EKS,688420
GetCallerIdentity,2.287339184532335,4,1,0,0,8.791351328348576,0,0,1,0,EVT-000127,IAM,612481
PutBucketPolicy,2.675726645686096,1,2,1,0,2.305808234134561,0,1,1,1,EVT-000128,EKS,311630
CopyObject,2.5259196517502502,8,2,0,0,3.4825143883345895,0,0,1,0,EVT-000129,IAM,466224
ListBuckets,1.7812492952621626,3,2,0,0,4.02395336575688,0,0,1,0,EVT-000130,Lambda,688318
RunInstances,1.623273728740946,4,2,0,0,4.185529731230063,0,0,1,0,EVT-000131,Lambda,506857
GetObject,1.7692719966170463,7,1,0,0,4.095850695962229,0,0,1,0,EVT-000132,S3,535485
AssumeRole,2.28359164706915,5,2,0,0,3.290382474723346,0,1,1,0,EVT-000133,Lambda,525363
GetObject,1.9994132425844766,4,2,0,0,9.206527803820265,0,1,1,0,EVT-000134,S3,404645
GetCallerIdentity,1.9189648481028803,4,2,0,0,1.7898634703292973,0,0,1,0,EVT-000135,EC2,172177
AttachRolePolicy,2.360933571794015,7,1,0,0,2.9711394739507995,0,0,1,0,EVT-000136,Lambda,114460
InvokeFunction,2.01367108628983,4,1,0,0,5.73955557335815,0,1,1,0,EVT-000137,S3,379791
PutBucketPolicy,1.9237395769979362,3,2,0,0,7.758299321501125,0,0,1,0,EVT-000138,Lambda,448394
PutObjectAcl,2.0461600344212636,3,1,0,0,1.5234064469763764,0,0,1,0,EVT-000139,Lambda,573658
RunInstances,2.589318758221682,3,1,0,0,7.0356867158188185,0,1,1,0,EVT-000140,Lambda,119434
DescribeInstances,1.6056732736400372,6,2,0,0,10.563909911306727,0,0,1,0,EVT-000141,EKS,338715
PutBucketPolicy,1.8526354569471166,4,2,0,0,0.7777499458044443,0,0,1,0,EVT-000142,Lambda,316012
GetCallerIdentity,4.63901038320678,22,10,0,1,1.0278848235350715,1,0,0,2,EVT-000143,EKS,700897
ListBuckets,2.4739935961963684,4,2,0,0,0.6155720911112604,0,0,1,0,EVT-000144,EKS,538847
RunInstances,2.5298947862509005,4,2,0,0,6.468202938494492,0,0,1,0,EVT-000145,EKS,436631
ListBuckets,1.4202253593396372,2,1,0,0,1.5244092345987512,0,0,1,0,EVT-000146,EC2,325473
GetObject,2.4422285372566432,2,1,0,0,6.265923277754323,0,0,0,0,EVT-000147,Lambda,532840
GetCallerIdentity,1.7460214458153824,4,1,0,0,7.265125927226804,0,1,1,0,EVT-000148,EKS,582154
InvokeFunction,1.292488350598441,4,2,0,0,1.4211359599150466,0,0,1,0,EVT-000149,EKS,477844
AttachRolePolicy,2.8262967990000596,4,2,0,0,8.099141310118922,0,0,1,0,EVT-000150,S3,607364
CreateAccessKey,4.5558096814456785,16,8,0,0,2.9967173648526693,0,1,0,2,EVT-000151,EKS,734988
ListBuckets,2.3907930922714526,5,2,0,0,5.5971255930903085,0,0,1,0,EVT-000152,EKS,423506
CreateAccessKey,1.8913838245977679,3,1,0,0,4.503880239387015,0,0,1,0,EVT-000153,Lambda,600204
PutBucketAcl,2.1804302983330053,3,1,0,0,8.272587387138177,0,1,1,0,EVT-000154,S3,539732
AssumeRole,1.9170992438341623,2,2,0,0,17.0060588499384,0,0,1,0,EVT-000155,Lambda,491868
AssumeRole,2.0655827973769556,9,1,0,0,3.3156203314194608,0,0,1,0,EVT-000156,EC2,391343
AssumeRole,1.5076455945859975,8,1,0,0,0.8710272257830294,0,1,1,0,EVT-000157,S3,402622
PutBucketAcl,1.7487735665098505,5,2,0,0,37.35337421549818,0,1,1,0,EVT-000158,IAM,505945
DescribeInstances,1.910394190591355,4,2,0,0,9.705414203080664,0,0,1,0,EVT-000159,EKS,612764
DescribeInstances,1.6563709658677634,6,1,0,0,5.750565419915416,0,0,1,0,EVT-000160,IAM,533649
PutBucketPolicy,2.0106675971807566,2,2,0,0,0.2555609700478303,0,0,1,0,EVT-000161,Lambda,327582
DescribeInstances,2.291931515606212,3,2,0,0,0.7564537114129039,0,0,0,0,EVT-000162,IAM,126535
RunInstances,1.9782699993714121,6,2,0,0,5.023566073659614,0,0,1,0,EVT-000163,EKS,677374
InvokeFunction,5.250290581131537,25,6,0,1,210.32003032363585,1,1,0,3,EVT-000164,EKS,717111
PutBucketAcl,1.3865196917084894,4,2,0,0,6.65067161756244,0,0,1,0,EVT-000165,S3,253104
GetObject,2.6800836354703352,3,2,0,0,0.6464542553958472,0,1,1,0,EVT-000166,IAM,598639
ListBuckets,1.7332996599172577,1,1,0,0,10.444042734653491,0,0,1,0,EVT-000167,S3,159662
PutObject,2.191435996599184,3,1,0,0,1.3180447758904164,0,0,1,0,EVT-000168,Lambda,261313
PutObject,2.4829343660519414,7,2,0,0,1.5529305143835113,0,1,1,0,EVT-000169,EC2,115267
AssumeRole,1.9589351635837469,3,2,0,0,38.07332959969836,0,0,1,0,EVT-000170,S3,325467
DescribeInstances,1.071612506691893,2,1,0,0,1.7385160299699094,0,1,1,0,EVT-000171,EKS,154925
AssumeRole,1.6537207276472938,3,2,0,0,7.172015728237141,0,0,1,0,EVT-000172,Lambda,637563
RunInstances,1.7948413820655946,6,2,0,0,1.929795845804714,0,0,1,0,EVT-000173,EKS,344850
ListBuckets,4.837630503531456,22,6,1,0,478.737486376378,1,1,1,3,EVT-000174,Lambda,753287
PutBucketAcl,3.3010883205757273,6,2,0,1,4.569550866084662,1,1,1,1,EVT-000175,Lambda,251561
GetCallerIdentity,1.4831397904560966,6,1,0,0,14.792420205333162,0,1,1,0,EVT-000176,IAM,285038
DescribeInstances,5.431474898934183,22,9,0,0,3.0037282334996394,1,1,1,2,EVT-000177,IAM,717111
GetObject,1.7548860924495857,2,2,0,0,6.901842427113433,0,0,1,0,EVT-000178,IAM,149280
ListBuckets,5.353375065887475,29,8,0,1,706.3481930182594,1,0,0,3,EVT-000179,EC2,784788
ListBuckets,1.8503955205038902,4,2,0,0,0.645151227327715,0,0,1,0,EVT-000180,S3,222864
DescribeInstances,2.0260442186638192,4,2,0,0,1.7457576838853386,0,1,1,0,EVT-000181,EKS,146993
PutBucketAcl,1.3649195076584848,2,2,1,0,2.285186402595558,0,1,1,1,EVT-000182,Lambda,102558
PutBucketPolicy,1.9701128780076476,5,1,0,0,26.50006830701155,0,0,1,0,EVT-000183,S3,619894
PutBucketPolicy,1.8177516000635774,3,3,1,1,2.9866258044972325,0,1,0,1,EVT-000184,EC2,509167
InvokeFunction,2.7721751942804596,1,1,0,0,2.16474596856062,0,0,1,0,EVT-000185,S3,322663
PutBucketAcl,2.6356011458562834,5,2,0,0,1.8324135450849168,0,0,1,0,EVT-000186,Lambda,251091
InvokeFunction,1.9572013671416326,2,2,0,0,17.306443626750262,0,0,1,0,EVT-000187,EKS,226706
GetCallerIdentity,2.5473095737561673,4,1,0,0,3.414834334036928,0,0,1,0,EVT-000188,S3,322571
ListBuckets,1.468151021283187,1,2,0,0,4.9323199172416885,0,0,1,0,EVT-000189,S3,260304
ConsoleLogin,2.6188079628221974,4,1,0,0,4.730155635073649,0,0,1,0,EVT-000190,IAM,585874
AssumeRole,1.4731906238199781,4,1,0,0,10.284127342639938,0,0,1,0,EVT-000191,EC2,455641
AssumeRole,2.2072776969593977,7,2,0,0,2.9449446562115664,0,0,1,0,EVT-000192,IAM,151905
PutBucketPolicy,2.3274620921017966,7,2,1,0,3.1697270623538074,1,0,1,1,EVT-000193,IAM,351301
RunInstances,1.5715299649044479,6,2,0,0,0.49040818318440726,0,0,1,0,EVT-000194,S3,186238
AssumeRole,1.8259407674988277,2,1,0,0,1.6113324654039873,0,0,1,0,EVT-000195,IAM,185515
ListBuckets,7.17014364884681,24,7,0,1,455.3593317776816,1,0,0,3,EVT-000196,IAM,734988
PutObjectAcl,1.9063294448338144,5,3,1,0,0.6899244605682004,0,0,0,1,EVT-000197,EKS,482732
RunInstances,2.058758979766447,2,1,0,0,5.567176472360681,0,0,1,0,EVT-000198,Lambda,395086
DescribeInstances,2.4063600811121657,2,2,0,0,1.6947726718967415,0,0,1,0,EVT-000199,EKS,212178
GetCallerIdentity,1.1623181472634845,1,2,0,0,1.1679245547593566,0,0,1,0,EVT-000200,IAM,492175
DescribeInstances,2.4606614413988996,3,1,0,0,2.359119266600407,0,0,1,0,EVT-000201,S3,367808
ListBuckets,1.998376198915788,5,1,0,0,1.12963407258186,0,1,1,0,EVT-000202,EC2,336858
PutObjectAcl,1.5381584147211547,1,3,1,0,0.7822190636900299,1,0,0,1,EVT-000203,S3,115355
InvokeFunction,2.5116652662786096,7,1,0,0,5.2206523916140135,0,0,1,0,EVT-000204,S3,470102
PutObjectAcl,2.6231111409841583,1,2,1,1,1.0676328727256548,0,0,0,1,EVT-000205,IAM,265598
GetCallerIdentity,1.8428677335295016,2,2,0,0,1.6177067327553798,0,0,1,0,EVT-000206,IAM,521279
CopyObject,1.8277920675245596,6,1,0,0,8.263457441769033,0,1,1,0,EVT-000207,IAM,297889
InvokeFunction,1.5126442170205208,0,2,0,0,5.529497659715803,0,0,1,0,EVT-000208,S3,490326
GetObject,2.1817213222959224,4,2,0,0,10.424533076401321,0,0,1,0,EVT-000209,EKS,474683
PutBucketAcl,1.4965076212124893,5,1,0,0,3.83093332830662,0,0,1,0,EVT-000210,Lambda,185453
DescribeInstances,2.2673304072431986,6,2,0,0,3.2541586126423767,0,0,1,0,EVT-000211,EC2,155551
InvokeFunction,1.6827784895477698,6,1,0,0,21.26442900301178,0,1,0,0,EVT-000212,IAM,361809
GetObject,1.8871256169105963,2,1,0,0,0.15631145608386438,0,0,1,0,EVT-000213,EC2,264449
AssumeRole,1.955469233120477,2,2,0,0,6.145507926751995,0,0,1,0,EVT-000214,Lambda,645481
AssumeRole,2.0947736003167083,6,1,0,0,3.1414461008674226,0,1,1,0,EVT-000215,S3,172891
PutObject,2.261208034474468,6,1,0,0,7.72243710566549,0,0,1,0,EVT-000216,IAM,195193
DescribeInstances,1.3875774124157845,3,2,0,0,4.114437722352703,0,0,1,0,EVT-000217,EC2,385238
DescribeInstances,2.1587592344392537,4,2,0,0,5.475769616068757,0,0,1,0,EVT-000218,EKS,625000
CreateAccessKey,1.6326807497047002,3,2,0,0,2.4801992828655104,0,0,1,0,EVT-000219,EC2,355559
AssumeRole,3.462385415067472,10,13,0,0,8.148968514545121,1,0,0,2,EVT-000220,Lambda,769685
PutObject,1.8395824730323642,6,1,0,0,4.179180112340246,0,0,1,0,EVT-000221,IAM,367871
DescribeInstances,3.698353113638795,12,7,0,0,4.169213423291648,1,1,1,2,EVT-000222,EC2,712630
CopyObject,2.003803707139557,3,1,0,0,4.751086751613181,0,1,1,0,EVT-000223,EKS,648303
RunInstances,1.3825861023928696,5,2,0,0,3.2068060845527246,0,0,1,0,EVT-000224,IAM,461948
AttachRolePolicy,2.575534410803664,2,1,0,0,0.14422832525969873,0,0,1,0,EVT-000225,EKS,620066
CopyObject,2.4872133407300816,2,2,0,0,0.5164186284533054,0,0,1,0,EVT-000226,IAM,288898
CopyObject,1.4494318207737926,7,1,0,0,9.05402711302893,0,0,0,0,EVT-000227,EC2,202487
ListBuckets,2.0360754549319617,3,2,0,0,3.0855290836403526,0,1,1,0,EVT-000228,S3,536255
GetCallerIdentity,2.420829954409497,12,2,0,0,6.7261693232854665,0,1,1,0,EVT-000229,EC2,251297
CopyObject,1.745172017998063,1,2,0,0,3.799631847476579,0,0,1,0,EVT-000230,IAM,207452
PutObjectAcl,2.7048805795160726,4,1,0,0,4.714791968234529,0,0,1,0,EVT-000231,Lambda,467241
GetCallerIdentity,2.768836755753537,6,2,0,0,1.0748270472382861,0,0,1,0,EVT-000232,IAM,557656
GetCallerIdentity,2.0462296765635397,3,2,0,0,3.3678170922196515,0,0,1,0,EVT-000233,S3,642535
GetObject,2.136248811396484,2,2,0,0,1.2991369006029454,0,0,0,0,EVT-000234,S3,185687
RunInstances,1.9707672828236436,8,1,0,0,5.185446394749862,0,1,1,0,EVT-000235,IAM,631469
GetObject,1.6131365933294843,3,1,0,0,1.4101062221933693,0,0,1,0,EVT-000236,S3,203401
GetObject,2.5202615943778905,1,1,0,0,18.48047297297345,0,0,1,0,EVT-000237,Lambda,515880
DeleteTrail,2.191990724576795,4,2,0,0,9.870053841833402,0,0,1,0,EVT-000238,S3,105142
PutBucketPolicy,1.154850703864852,5,1,1,1,1.4021302774590763,0,1,1,1,EVT-000239,EKS,411143
GetCallerIdentity,2.574770446080422,2,1,0,0,3.0072382261008905,0,0,1,0,EVT-000240,S3,617913
CreateAccessKey,1.2567029351549857,11,2,0,0,16.666854595038775,0,0,1,0,EVT-000241,EC2,200086
RunInstances,1.9877164549381314,5,1,0,0,7.135664991825708,0,0,1,0,EVT-000242,EKS,606500
CreateAccessKey,2.1758546424067973,6,1,0,0,0.0878640214615766,0,1,1,0,EVT-000243,EC2,149865
PutBucketAcl,2.1632442309224627,3,3,1,1,3.502334820400204,1,1,0,1,EVT-000244,EC2,334559
DescribeInstances,2.117340215846547,7,1,0,0,4.288992429507593,0,0,1,0,EVT-000245,S3,209833
GetObject,1.5637360102522861,3,1,0,0,0.6025039935774543,0,0,1,0,EVT-000246,EC2,101883
DescribeInstances,1.9195962699505924,3,2,0,0,3.5042411342291606,0,0,1,0,EVT-000247,IAM,266248
AttachRolePolicy,1.568122626479444,2,1,0,0,1.080031545374314,0,0,1,0,EVT-000248,EKS,659842
RunInstances,2.6869581273185323,2,1,0,0,17.57446493344089,0,0,1,0,EVT-000249,EC2,637978
PutObject,2.110892806923472,8,2,0,0,3.5043426089305267,0,0,1,0,EVT-000250,IAM,202823
GetCallerIdentity,3.7844640516261236,20,8,0,1,6.806649602716811,0,1,0,2,EVT-000251,S3,705913
